Date,National Avg Temp (F),NG ($/MSCF),US Crude Price ($/BBL),Electricity ($/kWh),US Petroleum Products (Million Barrels),Electrical Generation (Billion Kilowatthours),U.S. Natural Usage (BCF)
10/1/2014,55.4,13.11,78.84,0.132,610.969,627.922003,2736
11/1/2014,54,10.19,71.07,0.13,581.169,633.829006,2662
12/1/2014,52.5,10.01,54.86,0.131,603.779,674.695662,2770
1/1/2015,33.1,9.5,43.06,0.134,597.102,719.790749,2790
2/1/2015,33,9.08,44.35,0.134,550.604,667.965969,2521
3/1/2015,37.2,9.28,42.66,0.135,599.538,647.332951,2828
4/1/2015,41.2,10.43,49.3,0.131,577.537,587.170916,2759
5/1/2015,45.1,12.73,54.38,0.136,598.794,642.989231,2791
6/1/2015,49.5,15.07,55.88,0.143,595.593,723.631262,2660
7/1/2015,53,16.28,47.7,0.143,624.165,799.544903,2756
8/1/2015,55.5,16.88,39.98,0.143,618.124,782.932023,2745
9/1/2015,56.9,16.4,41.6,0.141,582.976,699.06146,2721
10/1/2015,57,12.6,42.34,0.136,604.212,623.018912,2806
11/1/2015,55.8,10.02,38.19,0.134,573.823,600.109533,2726
12/1/2015,54.4,9.27,32.26,0.135,607.264,647.626165,2812
1/1/2016,32.2,8.28,27.02,0.138,590.947,704.285079,2823
2/1/2016,35.9,8.36,25.52,0.138,575.551,626.329715,2654
3/1/2016,39.7,9.19,31.87,0.136,611.574,607.689229,2825
4/1/2016,43.1,9.65,35.59,0.137,580.207,584.677851,2679
5/1/2016,46.5,11.62,41.02,0.137,599.173,632.373848,2768
6/1/2016,50.7,14.43,43.96,0.143,595.385,734.382066,2628
7/1/2016,54.2,16.56,40.71,0.142,613.045,822.548894,2721
8/1/2016,56.7,17.6,40.46,0.142,628.518,818.15381,2723
9/1/2016,57.8,16.78,40.55,0.141,592.705,701.801329,2626
10/1/2016,57.8,13.74,45,0.136,609.153,624.782113,2720
11/1/2016,56.9,10.77,41.65,0.134,589.766,593.02572,2678
12/1/2016,54.9,9.06,47.12,0.133,619.503,689.546081,2747
1/1/2017,33.6,9.32,48.19,0.134,599.008,685.286124,2749
2/1/2017,37.4,10.01,49.41,0.134,537.331,578.309872,2505
3/1/2017,40.3,9.86,46.39,0.134,621.864,634.807861,2812
4/1/2017,43.7,11.34,47.23,0.134,587.86,587.600157,2703
5/1/2017,47.1,13.26,45.19,0.133,622.054,643.95247,2787
6/1/2017,50.9,16.06,42.17,0.138,616.837,714.733911,2693
7/1/2017,54.5,17.86,43.42,0.139,623.687,807.56233,2764
8/1/2017,56.7,18.22,44.96,0.139,627.787,767.465021,2781
9/1/2017,57.7,16.92,47.17,0.139,589.218,670.688646,2767
10/1/2017,57.5,13.36,49.12,0.134,619.679,639.725786,2907
11/1/2017,56.4,10.15,55.19,0.131,609.217,619.553287,2884
12/1/2017,54.6,9.29,56.98,0.133,630.027,705.757366,3006
1/1/2018,32.2,8.91,62.25,0.134,634.301,747.681372,2959
2/1/2018,33.8,9.63,61.2,0.135,549.344,611.282453,2724
3/1/2018,36.8,9.78,60.68,0.134,637.763,640.916332,3048
4/1/2018,39.9,10.04,63.5,0.135,598.228,602.543622,2960
5/1/2018,45,13.65,66.16,0.137,631.052,678.266954,3082
6/1/2018,49.4,16.51,62.8,0.142,621.16,743.661142,2955
7/1/2018,53.1,17.92,67,0.143,639.261,823.648759,3108
8/1/2018,55.7,18.63,62.64,0.142,660.371,819.962135,3180
9/1/2018,57,17.32,63.55,0.142,598.542,712.675051,3135
10/1/2018,56.7,12.26,65.18,0.137,643.98,649.80052,3273
